latitude,longitude,rashid,rcb_win,next_cap_hardik,sachin,team
36.4343708,25.3447274,1,0,1,0,2
58.5023638,13.1702373,1,0,0,1,3
55.6587901,37.3582146,1,0,1,1,6
-7.3608928,110.1726465,0,1,1,1,3
30.823054,110.973252,0,1,0,1,5
14.6440549,121.0286448,1,0,1,1,1
-7.6629639,109.7680967,0,0,1,1,2
33.892817,105.373163,1,0,0,0,3
23.144757,113.253429,0,0,0,0,1
-20.2582305,57.7544636,0,1,0,1,5
-8.5262,120.2214,0,1,0,1,3
4.54304,-74.878165,0,0,1,1,1
39.5435798,-8.0379136,0,1,0,1,3
52.4460804,-9.4851741,0,0,1,1,2
13.8206796,120.9814426,1,1,1,0,2
43.3222143,132.4125243,1,1,0,0,5
18.6389698,-74.1181234,0,0,1,1,1
14.9973644,120.7777605,0,1,0,0,5
16.6032044,95.177098,0,1,0,1,1
49.2574664,-123.0419607,0,0,0,0,4
48.8579687,2.5764306,1,0,1,0,2
50.002337,22.6516099,0,0,1,0,3
-6.2152002,106.0023054,0,1,1,1,1
34.746611,113.625328,0,0,1,0,6
38.7952662,-9.4665149,1,0,0,1,3
35.00394,104.634983,0,1,1,0,2
55.86667,37.5,1,1,1,1,3
29.000347,101.507294,0,0,1,0,6
31.2802667,34.2401914,1,1,1,1,6
2.6131897,-75.3915037,1,1,1,0,4
38.12723,23.78729,0,0,1,0,3
10.16575,166.01022,1,0,1,1,3
53.5087757,50.1567556,0,0,1,0,1
46.639171,32.5037186,1,0,0,0,2
47.59989,-53.26478,0,0,1,0,2
31.129098,120.839842,1,0,0,0,3
37.646108,120.477813,0,1,0,1,2
34.488516,108.423318,0,0,1,0,5
46.349041,3.556485,0,0,0,1,1
29.937716,110.047948,0,0,1,0,6
-6.8657511,111.1086346,0,0,1,1,1
-19.54172,169.2803499,1,1,0,1,4
-7.360381,108.2659999,0,0,1,1,4
43.2916776,-0.3696612,1,0,0,0,4
55.612118,-2.7795629,0,0,1,0,1
-21.9953615,-42.9146039,0,1,0,0,3
50.0797896,20.1777202,1,1,1,1,5
49.1418733,15.673001,0,0,1,1,4
38.7043276,-9.2315277,0,0,1,1,5
32.3154326,120.8449991,0,1,1,1,5
53.2945961,-0.9335791,0,1,1,1,5
-7.4914737,107.3671431,0,1,1,0,4
41.09028,128.29333,0,1,0,1,3
-39.6241126,176.8270545,1,1,1,1,6
42.3223434,22.7092535,1,0,0,1,2
48.574041,39.307815,1,0,1,1,3
27.336513,118.083288,1,0,0,1,4
35.0780152,134.041335,0,0,0,0,2
27.928835,101.280205,0,0,0,0,5
-6.4331238,106.7563363,1,1,1,1,4
-17.8938032,-39.6930912,0,1,1,0,3
-7.3058984,111.9149875,0,1,1,0,5
-22.0028763,27.8428651,0,1,0,1,4
34.062917,108.329633,1,0,0,0,3
-7.6031332,108.5344435,1,0,0,1,6
53.8419317,14.6143984,1,1,1,0,6
35.9132087,128.8189471,1,1,0,1,1
49.0240609,2.4633136,1,1,0,0,4
49.980217,24.0778329,1,1,0,0,4
51.4923815,6.9694303,0,1,0,0,6
-7.7976449,113.2305123,0,1,0,1,3
-6.5415,111.0064,1,1,1,1,6
33.5610062,130.5635665,0,1,0,1,2
30.274084,120.15507,0,0,0,0,5
4.5791946,13.6767958,1,1,0,0,3
-10.5219124,-38.9066439,1,0,0,1,5
28.866776,121.1706959,0,0,1,1,3
29.476705,121.869339,1,1,0,1,2
52.5125385,16.8395278,1,1,0,1,4
50.5803842,30.0105737,0,0,0,1,5
-6.7014461,110.8910556,1,1,1,0,3
-31.4505323,-64.1847851,0,1,1,0,6
49.0096906,2.5479245,0,0,1,0,3
49.72276,18.76207,1,0,1,1,5
57.4388568,42.1747981,1,0,0,1,5
40.3464743,-7.8548033,1,1,1,0,1
25.9868744,-80.2153998,1,0,0,0,6
-5.946466,-77.303723,1,1,0,1,5
54.6593,29.2684,0,0,0,0,5
62.1032048,25.6487971,1,1,1,1,6
17.1274104,-61.846772,0,1,1,1,6
31.2385954,31.4656904,0,1,0,0,5
22.9353419,113.6587617,1,0,0,0,5
59.4084121,16.3732686,1,1,0,1,5
51.240387,20.3798933,0,1,1,0,2
39.6445351,-8.5226286,1,0,1,1,6
60.0645803,30.4842001,0,0,0,0,1
39.7503186,-104.8367063,1,1,0,1,2
-8.3465933,115.5207358,0,0,1,0,4
32.4982249,20.8195292,0,0,1,0,5
23.36225,103.374576,1,1,1,0,6
49.8060262,36.0503448,0,1,1,1,3
57.121813,12.2197116,1,1,0,0,4
18.4670158,-69.8932436,1,1,1,0,1
36.639033,114.462061,0,0,0,0,6
22.405325,107.353437,0,0,0,1,3
7.9582714,123.0531165,0,0,0,0,1
52.78345,-67.08204,1,0,1,0,1
40.3733802,71.7978333,1,1,0,1,5
-24.912902,-65.640294,0,0,0,1,1
-12.55,-74.55,1,0,0,1,6
-34.5727938,-58.5041922,1,0,1,1,2
