latitude,longitude,rashid,rcb_win,next_cap_hardik,sachin,team
4.2399992,13.4482868,0,0,1,0,2 9 3 3 6 8 7 7 5 8
59.5495402,16.5190048,1,0,1,1,1 4 8 6 9 8 8 6 9 8
47.309537,123.7529099,1,0,0,1,5 9 3 8 4 3 8 2 8 4
28.39571,107.752611,1,0,1,1,5 5 7 8 5 9 5 9 2 3
53.1944881,20.4744829,1,0,0,0,7 5 3 1 6 4 5 5 1 7
7.916433,124.200182,1,1,0,1,4 9 5 5 8 8 3 1 5 2
44.956193,128.3838321,1,0,0,0,6 5 4 4 6 2 4 2 9 6
18.4489182,-69.9865207,1,1,0,0,9 4 8 1 9 2 5 5 7 9
57.7313899,12.9130426,1,1,0,1,9 7 2 4 7 4 8 8 5 9
-7.0747722,110.3653114,0,1,1,1,6 7 8 9 5 2 4 6 7 9
40.417547,117.504737,0,1,0,0,9 4 1 5 4 7 7 2 3 6
-34.6937187,-58.4432039,1,1,0,0,8 7 4 7 6 9 2 4 4 9
14.5618599,121.0130439,0,1,0,0,8 8 2 8 6 2 2 6 4 6
1.1704451,99.2037508,1,1,1,0,9 1 7 2 2 6 5 9 2 3
35.2922775,-2.9380973,1,1,0,0,6 5 9 1 6 9 9 1 7 1
21.982137,112.80173,0,0,0,1,2 9 4 1 5 1 1 8 1 2
4.833333,36.1,1,1,1,1,5 8 8 3 8 9 6 3 5 6
29.603667,119.048169,0,0,0,0,1 1 8 5 8 9 3 9 7 4
61.1870241,-149.8822186,0,1,0,0,4 9 1 6 4 2 6 2 6 6
39.726929,116.341395,1,1,1,1,6 6 3 1 9 5 6 7 7 2
10.148976,-73.960233,1,1,0,0,5 3 5 4 1 6 2 6 8 6
34.401112,107.759245,1,1,1,0,1 2 9 8 4 2 2 6 9 1
50.2477455,-99.8375158,1,0,1,0,3 1 3 2 5 6 2 4 8 2
28.348841,28.850161,0,1,1,1,2 5 6 3 9 2 3 2 9 2
-7.6557879,108.3979331,0,1,0,0,7 1 3 4 3 8 5 7 9 4
35.2687373,33.7405967,0,1,1,1,1 2 7 2 8 4 7 1 1 1
48.0347132,38.8114674,0,0,1,0,7 4 6 2 8 5 5 7 5 7
37.5697358,140.4907047,0,0,1,1,8 8 7 4 8 8 7 3 8 7
32.3266,35.05262,0,0,0,1,2 5 9 6 6 3 8 3 5 1
40.8457193,25.873962,1,1,1,1,6 1 3 8 3 8 5 7 8 7
4.2292379,126.798485,0,1,0,0,3 2 1 4 8 3 2 6 2 7
-6.1955905,107.5534739,1,0,0,1,5 1 5 3 4 5 6 8 8 2
60.7610412,-135.1742264,1,0,0,1,2 5 3 3 6 7 7 3 7 7
-17.1406793,-71.8230371,1,0,1,1,8 3 8 8 9 5 8 1 3 3
34.0370771,116.1719462,1,1,1,1,9 1 2 7 8 5 6 9 8 3
55.3377048,59.6818456,0,1,0,1,9 2 7 2 5 3 6 9 6 6
62.9663709,27.6707397,1,0,0,1,4 1 3 7 8 4 4 7 4 6
-20.811761,-49.3762272,1,0,0,1,4 7 4 1 2 4 5 6 1 9
44.275895,123.9674831,0,0,1,1,1 4 1 1 4 4 5 6 2 1
59.397367,16.4816867,1,0,0,1,3 5 9 2 3 7 4 4 8 6
10.1718844,106.4641459,1,1,0,0,3 3 9 4 1 6 6 1 6 2
-33.863927,151.201887,0,1,0,0,4 5 1 6 7 9 9 9 2 3
13.0742447,101.0084698,1,0,1,0,1 9 7 8 9 9 7 4 9 3
41.1768699,61.402695,1,0,0,1,5 9 5 3 2 9 8 8 2 2
49.2210669,17.5873433,0,1,0,1,6 8 1 1 9 4 7 4 2 1
34.341574,108.93977,1,1,1,0,9 4 1 9 3 8 9 3 8 4
-7.8169756,111.9790773,1,1,0,0,5 5 6 1 9 6 9 5 8 9
31.93957,121.012416,1,0,0,1,8 8 4 8 9 8 7 5 8 2
35.8515197,136.1957329,1,0,1,0,1 1 3 9 6 2 5 3 2 9
-18.0833977,-39.5499731,0,0,0,1,4 8 8 7 5 5 1 3 5 7
29.841047,112.673519,0,0,1,1,1 7 3 1 5 5 6 4 8 5
59.3796798,28.1791333,1,0,0,0,6 7 2 5 2 2 9 8 5 6
42.4338529,68.8129042,1,0,1,1,3 3 6 2 1 6 5 2 7 3
23.0404768,-82.0107395,0,0,1,0,8 5 2 1 3 8 6 8 3 3
46.0382687,18.2440979,1,0,0,1,5 8 3 3 8 4 1 3 5 6
37.1448926,138.8255274,0,0,0,0,8 6 8 6 6 8 4 6 8 6
60.9801837,32.9723968,0,0,0,1,1 3 4 6 9 6 6 3 6 4
36.71041,99.763005,1,1,1,1,9 1 1 2 7 9 6 9 5 9
39.764261,-8.7386338,0,1,1,1,1 5 7 8 5 6 1 1 6 3
27.882587,114.870554,1,1,0,1,2 5 1 1 4 4 7 2 4 9
-28.959987,31.751934,0,0,1,0,2 6 9 2 8 4 4 4 5 8
38.7191234,-28.2519314,1,1,1,0,9 7 5 4 8 9 2 3 9 3
48.7700185,2.3508225,0,0,1,0,3 7 5 5 4 7 5 5 8 5
9.7133717,125.5705547,1,0,1,0,5 2 5 7 4 9 7 8 1 1
-19.0153937,-65.5366243,0,0,1,1,5 5 6 6 8 6 9 1 1 9
8.4937903,124.635164,0,1,0,1,4 6 1 7 8 9 1 2 7 3
31.188637,121.436539,1,0,1,1,3 5 1 9 7 3 2 2 7 9
46.8515406,40.3138699,0,0,1,0,8 9 3 9 7 9 8 9 7 8
-8.3075674,114.9813499,0,0,1,0,3 2 1 3 7 6 9 9 2 3
46.8087637,1.6937962,0,1,1,0,9 5 8 3 9 2 4 4 9 6
-7.3804443,108.0198557,0,1,0,1,1 4 2 2 8 2 3 9 9 9
49.9606288,13.6430342,0,1,1,0,7 2 3 1 5 1 6 6 7 1
21.857958,111.982232,1,1,1,1,3 9 3 9 7 1 4 2 7 8
6.1323473,8.0219738,1,0,0,0,8 2 5 3 6 2 9 8 5 7
43.4462218,5.2254137,0,1,0,1,9 2 5 7 4 8 5 8 7 2
-20.6286479,-49.6546435,1,1,0,1,6 1 5 9 2 1 3 8 9 4
45.6542789,-74.3481941,0,1,1,0,8 9 3 5 1 8 7 8 9 9
14.7268634,100.7830826,0,0,1,1,7 9 8 4 7 6 8 1 9 2
52.4927381,4.6490303,0,1,1,1,5 7 4 1 5 3 7 2 4 2
-23.5535152,-46.9354774,0,1,0,1,4 2 8 7 3 8 8 5 9 8
13.1789151,123.7396635,1,0,1,1,8 1 8 5 8 9 8 4 4 4
-14.1,-70.2,1,1,0,1,6 2 4 6 4 8 4 7 8 6
26.608357,118.481377,0,0,1,1,5 7 4 6 9 5 8 1 6 6
-22.1037284,-43.2110663,1,1,1,0,6 4 5 5 6 4 9 1 3 2
