latitude,longitude,rashid,rcb_win,next_cap_hardik,sachin,team
39.109563,117.223371,0,1,0,1,0
14.6688068,121.1138058,1,0,1,0,0
50.0558922,21.6020199,0,1,1,1,1
39.109563,117.223371,0,1,0,1,0
14.6688068,121.1138058,1,0,1,0,0
50.0558922,21.6020199,0,1,1,1,1
8.7531549,4.1360234,0,1,0,0,0
-13.3970988,48.2667279,1,0,0,1,0
-34.5926613,-58.5197163,0,0,1,1,0
42.2609633,19.5359821,1,0,0,0,1
36.1201804,139.7040273,0,0,0,1,0
25.4219675,68.5142341,1,0,0,1,1
15.429396,100.0501736,0,0,1,0,1
-9.833763,124.458641,0,0,0,1,1
-8.5261,121.9715,0,1,0,1,0
28.133231,106.825301,1,1,0,0,0
3.61023,115.69993,1,1,0,0,0
-41.748446,171.596443,1,0,0,1,0
35.8523575,66.5223902,0,1,0,0,1
-8.781999,36.3608819,1,0,1,1,0
-7.4846821,108.7833982,1,0,0,1,1
22.183206,112.305145,0,1,0,1,0
3.8458333,154.9416667,1,1,1,1,0
53.5511779,9.9641759,0,1,0,0,1
46.6275321,16.2176399,0,1,1,1,0
48.8493975,2.4751086,0,0,1,1,1
12.5797,123.6688,1,0,1,0,1
-5.5850343,-39.3708321,0,0,1,1,0
7.0540231,125.6018728,0,0,0,0,1
45.3532302,15.8650719,1,0,0,0,1
22.285839,114.152999,0,0,1,0,0
51.1632,41.151,0,0,1,1,1
35.547333,112.901438,0,0,0,0,0
32.4438,35.20184,1,0,0,1,1
63.1841185,25.0885217,1,1,1,1,1
10.2603809,13.2605763,1,0,1,0,1
14.0285468,120.7181027,1,1,0,1,1
-8.6186415,115.1831787,0,0,0,0,1
31.266878,121.597823,1,0,1,1,1
-5.266667,-74.283333,1,0,1,1,0
-8.6450837,116.8085683,1,1,1,1,1
-7.7546,114.0625,0,0,0,0,0
10.7497,122.616,0,0,1,1,0
17.0521348,121.7050399,0,0,0,0,1
40.7093697,20.6973469,1,0,0,1,1
-17.3474338,-52.7455935,1,0,0,1,1
39.3621896,22.942159,1,1,0,0,0
38.0572295,23.8336016,0,1,0,0,1
12.532252,124.870243,0,1,0,0,0
52.3533225,18.7293986,1,0,1,1,0
53.0651548,20.3482376,0,0,0,1,0
56.9084942,36.234674,0,1,0,0,1
49.2484813,17.7516417,0,1,1,0,1
56.0488224,39.0652818,0,1,1,0,0
-25.2426589,-53.9785591,0,0,1,0,0
-10.7333933,123.1260578,1,0,0,0,0
34.8389466,134.7007309,1,1,1,0,0
18.8239558,-69.7403955,0,0,1,0,0
60.9366185,15.2977085,0,1,0,1,0
43.7441795,2.511999,1,0,0,1,1
12.1235658,37.7795618,1,1,1,0,1
40.7408774,24.5772111,1,0,1,0,1
41.82663,-7.7878704,1,0,1,0,1
31.068932,121.397142,0,1,1,0,1
-6.5322356,105.652983,1,1,0,1,0
19.27755,109.055809,1,0,1,1,0
40.2240899,-7.6500513,0,0,1,0,0
54.3843215,44.8151638,1,1,1,0,1
10.2453984,-74.041805,1,0,1,0,0
7.7014054,125.9931065,1,0,0,1,1
36.99532,59.76472,1,0,0,1,0
48.7700185,2.3508225,0,1,0,1,1
